page_number,kanji,meaning,on_yomi,kun_yomi,on_yomi_words,kun_yomi_words,explanation,jlpt_level
28,分,나눌 분,"ブ, ブン, フン","わ, かる, かつ, かれる, ける","[{'kanji': '二', 'reading': 'に'}, {'kanji': '分', 'reading': 'ふん'}, {'kanji': '五', 'reading': 'ご'}, {'kanji': '分', 'reading': 'ふん'}, {'kanji': '三分', 'reading': 'さんぷん'}, {'kanji': '大', 'reading': 'だい'}, {'kanji': '分', 'reading': 'ぶ'}, {'kanji': '八', 'reading': 'はち'}, {'kanji': '分', 'reading': 'ぶ'}, {'kanji': '七', 'reading': 'しち'}, {'kanji': '分', 'reading': 'ぶ'}, {'kanji': '部', 'reading': 'ぶ'}, {'kanji': '分', 'reading': 'ぶん'}, {'kanji': '半分', 'reading': 'はんぶん'}, {'kanji': '自', 'reading': 'じ'}, {'kanji': '分', 'reading': 'ぶん'}, {'kanji': '分', 'reading': 'ぶん'}, {'kanji': '野', 'reading': 'や'}]",[],"分 = ハ + 刀。 ハ는 여기서는 ""무언가가 둘로 쪼개진 모습""을 표현한 모양자입니다. 「刀」(""칼 도"")는 ""칼""을 뜻하는 부수입니다(링크 참조). 分는 ""칼(刀)로 베어서 둘로 쪼개다(ハ)"" -> ""나누다""라는 뜻의 글자입니다.",N5
29,後,뒤 후,"コウ, ゴ","おく, ろ, のち, うし, れる, あと","[{'kanji': '午後', 'reading': 'ごご'}, {'kanji': '最', 'reading': 'さい'}, {'kanji': '後', 'reading': 'ご'}, {'kanji': '後半', 'reading': 'こうはん'}, {'kanji': '後悔', 'reading': 'こうかい'}, {'kanji': '後輩', 'reading': 'こうはい'}]",[],"後 = 彳 + 幺 + 夂。 「彳」는 ""길""을 뜻하는 부수입니다(링크 참조). 「幺」는 ""작다, 어리다""라는 뜻의 글자입니다(링크 참조). 「夂」는 ""발""을 뜻하는 부수입니다(링크 참조). 後는 ""길(彳)에서어린아이(幺)가부모뒤를 졸졸 따라가다(夂)""라는 뜻입니다. ""뒤를 따라가다"" -> ""뒤, 나중""이라는 의미입니다.",N5
30,前,앞 전,ゼン,まえ,"[{'kanji': '午', 'reading': 'ご'}, {'kanji': '前', 'reading': 'ぜん'}, {'kanji': '以', 'reading': 'い'}, {'kanji': '前', 'reading': 'ぜん'}, {'kanji': '前進', 'reading': 'ぜんしん'}]","[{'kanji': '名', 'reading': 'な'}, {'kanji': '前', 'reading': 'まえ'}, {'kanji': '三', 'reading': 'みっ'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '前', 'reading': 'まえ'}]","前 = 䒑 + 月 + 刂。 「刂」는 ""칼""을 뜻하는 부수입니다(링크 참조). 「月」는 ""고기""를 뜻하는 부수입니다(링크 참조). 䒑는 여기서는 ""고기(月)의 앞부분""을 강조하기 위해 쓰인 모양자입니다. 前는 ""고기(月)의 앞부분(䒑)을 칼(刂)로 잘라내다"" -> ""앞""이라는 뜻의 글자입니다.",N5
31,生,살 생,"ショウ, セイ","む, える, き, やす, なま, きる, い, かす, まれる, う, ける, は","[{'kanji': '生命', 'reading': 'せいめい'}, {'kanji': '人生', 'reading': 'じんせい'}, {'kanji': '先生', 'reading': 'せんせい'}, {'kanji': '一', 'reading': 'いっ'}, {'kanji': '生', 'reading': 'しょう'}, {'kanji': '生', 'reading': 'しょう'}, {'kanji': '涯', 'reading': 'がい'}, {'kanji': '一', 'reading': 'いっ'}, {'kanji': '生', 'reading': 'しょう'}, {'kanji': '懸命', 'reading': 'けんめい'}]","[{'kanji': '生地', 'reading': 'きじ'}, {'kanji': '生', 'reading': 'なま'}, {'kanji': '身', 'reading': 'み'}, {'kanji': '生', 'reading': 'なま'}, {'kanji': '意気', 'reading': 'いき'}, {'kanji': '生物', 'reading': 'なまもの'}]","生는 ""새싹이 돋아나는 모습""을 그린 상형문자입니다. ""새싹"" -> ""생명, 태어나다""라는 의미입니다.",N5
32,五,다섯 오,ゴ,"いつ, つ","[{'kanji': '五', 'reading': 'ご'}, {'kanji': '月', 'reading': 'がつ'}]","[{'kanji': '五', 'reading': 'いつ'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '五', 'reading': 'いつ'}]","고대에는 나무막대기를 엇갈려 늘어놓는 식으로 ""5""를 표현했다고 합니다. 五는 그 모습을 그대로 본따 그린 상형문자입니다.",N5
33,間,사이 간,"カン, ケン","ま, あいだ","[{'kanji': '時', 'reading': 'じ'}, {'kanji': '間', 'reading': 'かん'}, {'kanji': '年間', 'reading': 'ねんかん'}, {'kanji': '週', 'reading': 'しゅう'}, {'kanji': '間', 'reading': 'かん'}, {'kanji': '世', 'reading': 'せ'}, {'kanji': '間', 'reading': 'けん'}, {'kanji': '眉', 'reading': 'み'}, {'kanji': '間', 'reading': 'けん'}]",[],"間 = 門 + 日。 門(""문 문"")은 ""문""을 뜻하는 상용한자입니다. 「日」는 ""태양""을 뜻합니다. 間는 ""문틈(門) 사이로 햇빛(日)이 들어오다"" -> ""사이, 간격, 틈새""라는 뜻의 글자입니다.",N5
34,上,윗 상,"ショウ, ジョウ","る, うわ, す, せる, あ, げる, がる, のぼ, うえ, かみ","[{'kanji': '地', 'reading': 'ち'}, {'kanji': '上', 'reading': 'じょう'}, {'kanji': '海', 'reading': 'かい'}, {'kanji': '上', 'reading': 'じょう'}, {'kanji': '上', 'reading': 'じょう'}, {'kanji': '下', 'reading': 'げ'}, {'kanji': '上', 'reading': 'じょう'}, {'kanji': '位', 'reading': 'い'}, {'kanji': '上', 'reading': 'しょう'}, {'kanji': '人', 'reading': 'にん'}]","[{'kanji': '雲', 'reading': 'くも'}, {'kanji': '上', 'reading': 'うえ'}, {'kanji': '上', 'reading': 'うわ'}, {'kanji': '着', 'reading': 'ぎ'}, {'kanji': '川上', 'reading': 'かわかみ'}]","上는 ""손가락으로 위쪽을 가리키고 있는 모습""을 그린 지사문자입니다.",N5
35,東,동녘 동,トウ,ひがし,"[{'kanji': '東洋', 'reading': 'とうよう'}, {'kanji': '東', 'reading': 'とう'}, {'kanji': '京', 'reading': 'きょう'}]","[{'kanji': '東', 'reading': 'ひがし'}, {'kanji': '日', 'reading': 'に'}, {'kanji': '本', 'reading': 'ほん'}, {'kanji': '東', 'reading': 'ひがし'}]","東 = 木 + 日。 木(""나무 목"")은 ""나무""를 뜻하는 상용한자입니다. 「日」는 ""태양""을 뜻합니다. 東는 ""아침해(日)가나무(木)에 걸린 모습""을 그린 글자입니다. ""아침해는 동쪽에서 뜬다"" -> ""동쪽""이라는 의미입니다.",N5
36,四,넷 사,シ,"よん, よ, よっ, つ","[{'kanji': '四', 'reading': 'し'}, {'kanji': '月', 'reading': 'がつ'}]","[{'kanji': '四', 'reading': 'よ'}, {'kanji': '人', 'reading': 'にん'}, {'kanji': '四千', 'reading': 'よんせん'}, {'kanji': '四', 'reading': 'よっ'}, {'kanji': '分', 'reading': 'わ'}, {'kanji': '四', 'reading': 'よ'}, {'kanji': '角', 'reading': 'かど'}]","四는 본래 ""사람의 콧구멍""을 그린 것으로, 원래 뜻은 ""숨쉬다""였습니다. 그러나 이후 4와 발음이 같다는 이유로 ""4""라는 뜻으로 쓰이게 된 것입니다. 즉, 四의 모양과 의미 사이에는 아무런 관계도 없습니다.",N5
37,今,이제 금,"コン, キン",いま,"[{'kanji': '今', 'reading': 'こん'}, {'kanji': '週', 'reading': 'しゅう'}, {'kanji': '今月', 'reading': 'こんげつ'}, {'kanji': '今', 'reading': 'きん'}, {'kanji': '上', 'reading': 'じょう'}]",[],"今는 ""말하고 있는 입모양""을 그린 상형문자입니다. ""지금 말하는 중"" -> ""지금""이라는 의미입니다.",N5
38,新,새 신,シン,"た, にい, しい, あたら, あら","[{'kanji': '新年', 'reading': 'しんねん'}, {'kanji': '新聞', 'reading': 'しんぶん'}, {'kanji': '新', 'reading': 'しん'}, {'kanji': '入', 'reading': 'にゅう'}, {'kanji': '生', 'reading': 'せい'}]",[],"新 = 立 + 木 + 斤。 立(""설 립"")은 ""서다""라는 뜻의 상용한자입니다. 木(""나무 목"")은 ""나무""를 뜻하는 상용한자입니다. 「斤」는 ""도끼""를 뜻하는 부수입니다(링크 참조). 新는 ""우뚝 선(立) 나무(木)를 베어서(斤) 새로운 물건을 만들다"" -> ""새롭다""라는 뜻의 글자입니다.",N5
39,金,쇠 금,"キン, コン","かね, かな","[{'kanji': '現金', 'reading': 'げんきん'}, {'kanji': '金星', 'reading': 'きんせい'}, {'kanji': '純', 'reading': 'じゅん'}, {'kanji': '金', 'reading': 'きん'}, {'kanji': '金剛', 'reading': 'こんごう'}, {'kanji': '黄金', 'reading': 'おうごん'}]","[{'kanji': '金', 'reading': 'かね'}, {'kanji': '金', 'reading': 'かね'}, {'kanji': '持', 'reading': 'も'}, {'kanji': '針金', 'reading': 'はりがね'}, {'kanji': '金物', 'reading': 'かなもの'}]","金는 ""산 속에 묻힌 황금""을 그린 상형문자입니다.",N5
40,九,아홉 구,"キュウ, ク","ここの, つ","[{'kanji': '九百', 'reading': 'きゅうひゃく'}, {'kanji': '九', 'reading': 'く'}, {'kanji': '月', 'reading': 'がつ'}, {'kanji': '九九', 'reading': 'くく'}]","[{'kanji': '九', 'reading': 'ここの'}, {'kanji': '日', 'reading': 'か'}, {'kanji': '九', 'reading': 'ここの'}]","九는 본래는 ""팔꿈치""를 그린 상형문자입니다. 그러나 이후 발음이 같다는 이유로 ""9""라는 뜻으로 쓰이게 된 것입니다. 즉, 九의 모양과 의미 사이에는 아무런 관계도 없습니다. (숫자를 의미하는 한자들 중에는 이런 것들이 많습니다.)",N5
41,入,들 입,ニュウ,"る, い, はい, れる","[{'kanji': '入', 'reading': 'にゅう'}, {'kanji': '国', 'reading': 'こく'}, {'kanji': '入', 'reading': 'にゅう'}, {'kanji': '学', 'reading': 'がく'}, {'kanji': '入', 'reading': 'にゅう'}, {'kanji': '院', 'reading': 'いん'}]",[],"入는 ""뾰족한 쐐기""를 그린 상형문자입니다. ""뾰족한 쐐기를 꽂아넣다"" -> ""들어가다, 넣다""라는 의미입니다.",N5
42,立,설 립,"リツ, リュウ","てる, た, つ","[{'kanji': '国立', 'reading': 'こくりつ'}, {'kanji': '対立', 'reading': 'たいりつ'}, {'kanji': '立体', 'reading': 'りったい'}, {'kanji': '建', 'reading': 'こん'}, {'kanji': '立', 'reading': 'りゅう'}]",[],"立는 ""양 팔을 벌리고 서있는 사람""을 그린 상형문자입니다. ""서있는 사람"" -> ""서다""라는 의미입니다.",N5
43,手,손 수,シュ,"た, て","[{'kanji': '手', 'reading': 'しゅ'}, {'kanji': '術', 'reading': 'じゅつ'}, {'kanji': '手段', 'reading': 'しゅだん'}, {'kanji': '選手', 'reading': 'せんしゅ'}, {'kanji': '上', 'reading': 'じょう'}, {'kanji': '手', 'reading': 'ず'}]","[{'kanji': '手', 'reading': 'て'}, {'kanji': '左', 'reading': 'ひだり'}, {'kanji': '手', 'reading': 'て'}, {'kanji': '右', 'reading': 'みぎ'}, {'kanji': '手', 'reading': 'て'}, {'kanji': '手', 'reading': 'て'}, {'kanji': '紙', 'reading': 'がみ'}, {'kanji': '手', 'reading': 'た'}, {'kanji': '綱', 'reading': 'づな'}]","手는 ""손과 손가락""을 본따 그린 상형문자입니다.",N5
44,学,배울 학,ガク,"ぶ, まな","[{'kanji': '大学', 'reading': 'だいがく'}, {'kanji': '学生', 'reading': 'がくせい'}, {'kanji': '学会', 'reading': 'がっかい'}, {'kanji': '学', 'reading': 'がく'}, {'kanji': '習', 'reading': 'しゅう'}]",[],"学 = ⺍ ＋ 冖 ＋ 子。 「⺍＋冖」는 ""불이 환하게 켜진 집""을 뜻합니다(링크 참조). 子(""아들 자"")는 ""아이""를 뜻하는 상용한자입니다. 学는 ""아이(子)가 밤늦게까지(⺍＋冖)열심히 공부하다"" -> ""배우다""라는 뜻의 글자입니다.",N5
45,高,높을 고,コウ,"める, たか, い, まる","[{'kanji': '高', 'reading': 'こう'}, {'kanji': '度', 'reading': 'ど'}, {'kanji': '最高', 'reading': 'さいこう'}, {'kanji': '高速', 'reading': 'こうそく'}]",[],"高는 ""높이 쌓아올려진 누각""을 본따 그린 상형문자입니다. ""높은 누각"" -> ""높다""라는 의미입니다.",N5
46,円,둥글 원,エン,"い, まる","[{'kanji': '円', 'reading': 'えん'}, {'kanji': '円形', 'reading': 'えんけい'}]","[{'kanji': '円', 'reading': 'まる'}, {'kanji': '月', 'reading': 'つき'}]","円은 ""둥근 가마솥""을 본따 그린 상형문자입니다. ""둥근 가마솥"" -> ""둥글다""라는 의미입니다.",N5
47,子,아들 자,"ス, シ",こ,"[{'kanji': '男', 'reading': 'だん'}, {'kanji': '子', 'reading': 'し'}, {'kanji': '女', 'reading': 'じょ'}, {'kanji': '子', 'reading': 'し'}, {'kanji': '子', 'reading': 'し'}, {'kanji': '宮', 'reading': 'きゅう'}, {'kanji': '分', 'reading': 'ぶん'}, {'kanji': '子', 'reading': 'し'}, {'kanji': '椅子', 'reading': 'いす'}, {'kanji': '様', 'reading': 'よう'}, {'kanji': '子', 'reading': 'す'}]","[{'kanji': '子', 'reading': 'こ'}, {'kanji': '子', 'reading': 'こ'}, {'kanji': '供', 'reading': 'ども'}, {'kanji': '親', 'reading': 'おや'}, {'kanji': '子', 'reading': 'こ'}]","子는 ""강보에 싸인 아기""를 그린 상형문자입니다.",N5
48,目,눈 목,"モク, ボク","ま, め","[{'kanji': '目的', 'reading': 'もくてき'}, {'kanji': '項目', 'reading': 'こうもく'}, {'kanji': '科', 'reading': 'か'}, {'kanji': '目', 'reading': 'もく'}, {'kanji': '面目', 'reading': 'めんぼく'}]","[{'kanji': '目', 'reading': 'め'}, {'kanji': '目', 'reading': 'め'}, {'kanji': '上', 'reading': 'うえ'}, {'kanji': '目', 'reading': 'め'}, {'kanji': '下', 'reading': 'した'}, {'kanji': '目', 'reading': 'ま'}, {'kanji': '深', 'reading': 'ぶか'}]","目는 ""눈""을 본따 그린 상형문자입니다.",N5
